siteid,cluster,cluster_agc_ward,average_hour_count,longitude,latitude,color1,color2,color3,color4,color5,color6
121.0,0,1,5.22,4.0556696,51.0604067,20.0,20.0,255.0,255.0,20.0,20.0
122.0,0,1,0.07,4.1019222,51.0373918,20.0,20.0,255.0,255.0,20.0,20.0
123.0,0,1,1.61,4.2362771,51.1964555,20.0,20.0,255.0,255.0,20.0,20.0
124.0,3,1,7.89,4.2361077,51.1964712,52.0,52.0,52.0,255.0,20.0,20.0
125.0,1,3,32.21,4.1025998,51.0372706,255.0,20.0,20.0,52.0,52.0,52.0
126.0,3,1,6.98,4.1469307,51.1017709,52.0,52.0,52.0,255.0,20.0,20.0
127.0,3,0,9.09,4.9400421,51.1342966,52.0,52.0,52.0,20.0,20.0,255.0
128.0,0,1,4.59,3.97023,51.09644,20.0,20.0,255.0,255.0,20.0,20.0
129.0,0,1,4.58,3.97025,51.09612,20.0,20.0,255.0,255.0,20.0,20.0
131.0,0,1,5.99,3.558569,51.0276612,20.0,20.0,255.0,255.0,20.0,20.0
132.0,0,1,2.19,4.8298851,51.245445,20.0,20.0,255.0,255.0,20.0,20.0
133.0,0,1,2.08,4.8297416,51.2453915,20.0,20.0,255.0,255.0,20.0,20.0
134.0,0,1,5.87,5.1037658,51.2548405,20.0,20.0,255.0,255.0,20.0,20.0
135.0,0,1,6.1,5.1040064,51.2544998,20.0,20.0,255.0,255.0,20.0,20.0
136.0,3,0,8.99,3.7587918,51.0876313,52.0,52.0,52.0,20.0,20.0,255.0
137.0,1,3,32.65,5.3417576,50.9411605,255.0,20.0,20.0,52.0,52.0,52.0
138.0,1,3,27.89,5.3422472,50.9405318,255.0,20.0,20.0,52.0,52.0,52.0
139.0,0,1,7.15,5.3819796,51.0644267,20.0,20.0,255.0,255.0,20.0,20.0
140.0,1,3,29.77,5.3438616,50.9300038,255.0,20.0,20.0,52.0,52.0,52.0
143.0,2,2,63.14,3.26286,50.83066,20.0,255.0,20.0,20.0,255.0,20.0
145.0,0,1,0.0,4.4908759,50.7885856,20.0,20.0,255.0,255.0,20.0,20.0
146.0,0,1,0.0,4.4902818,50.7881478,20.0,20.0,255.0,255.0,20.0,20.0
147.0,0,1,2.65,4.4975769,50.7797555,20.0,20.0,255.0,255.0,20.0,20.0
148.0,0,1,6.59,4.44471001,50.76699493,20.0,20.0,255.0,255.0,20.0,20.0
149.0,0,1,6.46,4.43356644,50.88297881,20.0,20.0,255.0,255.0,20.0,20.0
150.0,0,1,2.29,4.56136297,50.8687535,20.0,20.0,255.0,255.0,20.0,20.0
151.0,0,1,3.11,4.6854839,50.8690262,20.0,20.0,255.0,255.0,20.0,20.0
152.0,0,1,7.53,4.149169474840164,50.968901168564656,20.0,20.0,255.0,255.0,20.0,20.0
